Atlas_Clean_Name,Summit_Clean_Name,Similarity_Score,Decision
helvar we gridworks international,,,NO_MATCH
kelvanto xf imaging international,orvanta xf imaging international,89.2,REJECT
prysmar yf materials international,tarsen yf materials international,86.6,REJECT
iskora yg mobility international,,,NO_MATCH
kelvanto zg networks international,,,NO_MATCH
uldora ag payments international,ravelin ag payments international,86.2,REJECT
avenor ag pharma international,haverno zo pharma international,85.2,REJECT
fintara bh robotics international,,,NO_MATCH
solvanta bh robotics international,solvanta vu robotics international,91.2,ACCEPT
ostera ch robotics international,nexora bh robotics international,87.5,REJECT
tervano dh software international,tervano uc software international,90.9,ACCEPT
eldora dh supply international,eldora ax supply international,93.3,ACCEPT
nexora dh supply international,,,NO_MATCH
yorvex dh supply international,yorvex ea supply international,93.3,ACCEPT
haverno dh supply international,,,NO_MATCH
yantara dh supply international,yantara zf supply international,90.3,ACCEPT
calvion ei training international,calvion ga training international,93.9,ACCEPT
lunaro ei training international,orvanta ei training international,86.2,REJECT
qintara fi training international,qintara wd training international,90.9,ACCEPT
yantara fi training international,yantara ga training international,93.9,ACCEPT
tervano fi transport international,quenvale fi transport international,87.0,REJECT
falvera gj warehousing international,avenor cg warehousing international,90.1,REJECT
zentara hj workspace international,,,NO_MATCH
javora hj workspace international,wendora hj workspace international,89.6,REJECT
veltrix ij analytics,,,NO_MATCH
prysmar jk cloudworks,prysmar jb cloudworks,95.2,ACCEPT
iskora jk cloudworks,iskora qo cloudworks,90.0,ACCEPT
brinora kk components,brinora hz components,90.5,ACCEPT
rovian lk foods,rovian oe foods,86.7,ACCEPT
arvello ll gridworks,arvello pe gridworks,90.0,ACCEPT
deltora ml,,,NO_MATCH
sorevia ml,,,NO_MATCH
rovian nl logistics,rovian lt logistics,94.7,ACCEPT
solvanta nl logistics,solvanta lk logistics,85.7,ACCEPT
deltora nl logistics,deltora ve logistics,90.0,ACCEPT
prysmar ol mobility,,,NO_MATCH
yantara qm pharma,,,NO_MATCH
brinora qn retail,brinora mk retail,88.2,ACCEPT
lorven rn robotics,lorven nk robotics,94.4,ACCEPT
kelvanto rn security,,,NO_MATCH
iskora sn supply,iskora rm supply,87.5,ACCEPT
kelvanto to therapeutics,tervano to therapeutics,89.4,REJECT
helvar to tools,helvar hs tools,86.7,ACCEPT
yantara uo training,,,NO_MATCH
arvello xp workspace,arvello lm workspace,85.0,ACCEPT
praxon xp workspace,,,NO_MATCH
quenvale xp biosystems,quenvale xg biosystems,95.5,ACCEPT
praxon yq clinics,praxon qg clinics,94.1,ACCEPT
orvanta yq cloudworks,orvanta yh cloudworks,95.2,ACCEPT
uldora zq cloudworks,eldora qk cloudworks,90.0,REJECT
lunaro zq components,,,NO_MATCH
javora aq diagnostics,javora ia diagnostics,85.7,ACCEPT
javora cr imaging,javora fl imaging,88.2,ACCEPT
evorin cr logistics,,,NO_MATCH
ravelin cr logistics,ravelin lk logistics,90.0,ACCEPT
lunaro dr mobility,lunaro gc mobility,88.9,ACCEPT
nexora es networks,wexforda es networks,89.5,REJECT
tarsen es networks,tarsen ls networks,94.4,ACCEPT
cendrix es packaging,cendrix iz packaging,90.0,ACCEPT
braxen fs payments,braxen ej payments,88.9,ACCEPT
tarsen gt robotics,tarsen by robotics,88.9,ACCEPT
kestrelis ht security,kestrelis gk security,90.5,ACCEPT
arvello iu therapeutics,arvello si therapeutics tech,86.3,ACCEPT
rovian ju tools,rovian ot tools,86.7,ACCEPT
tervano ju tools,tervano ch tools,87.5,ACCEPT
kelvanto lv warehousing,kelvanto tr warehousing,91.3,ACCEPT
ravelin lv warehousing,ravelin nn warehousing,90.9,ACCEPT
ivanto lv wellness,ivanto tr wellness,88.9,ACCEPT
qintara mv wellness,qintara nn wellness,89.5,ACCEPT
helvar nv biosystems,helvar xg biosystems,90.0,ACCEPT
tarsen nv biosystems,tarsen nv biosys,88.9,ACCEPT
arvello ow clinics,arvello eu clinics,88.9,ACCEPT
avenor pw diagnostics,avenor hm diagnostics,90.5,ACCEPT
orvanta pw foods,orvanta sh foods,87.5,ACCEPT
meroxa qx gridworks,,,NO_MATCH
haverno sx logistics,haverno da logistics,85.0,ACCEPT
ravelin ty mobility,ravelin bd mobility sys,85.7,ACCEPT
avenor ty networks,avenor od networks,88.9,ACCEPT
deltora ty networks,deltora vq networks,89.5,ACCEPT
avenor uy payments,haverno uy payments,91.9,REJECT
uldora vy pharma,,,NO_MATCH
braxen vy retail,braxen zf retail,87.5,ACCEPT
iskora wz robotics,iskora zj robotics,94.4,ACCEPT
ravelin yz supply,,,NO_MATCH
tarsen yz therapeutics,tarsen le therapeutics,86.4,ACCEPT
ulvero yz therapeutics,ulvero vp therapeutics,90.9,ACCEPT
sorevia ya therapeutics,sorevia fa therapeutics,87.0,ACCEPT
tarsen ya tools,,,NO_MATCH
galvex aa ventures,,,NO_MATCH
quenvale aa ventures,quenvale jc ventures,90.0,ACCEPT
tarsen aa warehousing,tarsen fa warehousing,95.2,ACCEPT
prysmar bb wellness,prysmar ib wellness,94.7,ACCEPT
falvera bb wellness,,,NO_MATCH
braxen cb analytics,braxen ru analytics,89.5,ACCEPT
galvex cb biosystems,galvex bj biosystems,95.0,ACCEPT
deltora db clinics,,,NO_MATCH
cendrix ec components,,,NO_MATCH
tervano fc diagnostics,tervano uv diagnostics,86.4,ACCEPT
dorsen fc foods,,,NO_MATCH
ostera gd gridworks,,,NO_MATCH
solvanta gd,solvanta ds,90.9,ACCEPT
lunaro hd logistics,lunaro kn logistics,89.5,ACCEPT
fintara id mobility,fintara jw mobility,89.5,ACCEPT
mavrix id mobility,,,NO_MATCH
praxon ke pharma,,,NO_MATCH
braxen ke retail,,,NO_MATCH
tervano lf robotics,tervano hc robotics,89.5,ACCEPT
glenvex nf therapeutics,glenvex jd therapeutics,91.3,ACCEPT
wexforda og tools,,,NO_MATCH
yorvex og training,yorvex sn training,88.9,ACCEPT
galvex pg ventures,galvex oo ventures,88.9,ACCEPT
kelvanto pg ventures,kelvanto uw ventures,90.0,ACCEPT
solvanta qg warehousing,,,NO_MATCH
prysmar sh biosystems labs,prysmar sh biosys labs,91.7,ACCEPT
ostera sh biosystems labs,meroxa sh biosystems labs,88.0,REJECT
wendora sh biosystems labs,wendora sh biosys labs,91.7,ACCEPT
galvex sh clinics labs,,,NO_MATCH
brinora sh clinics labs,,,NO_MATCH
uldora ti clinics labs,,,NO_MATCH
wendora ti clinics labs,,,NO_MATCH
helvar ti components labs,helvar ws components labs,92.0,ACCEPT
calvion ui foods labs,,,NO_MATCH
solvanta vi gridworks labs,solvanta ll gridworks,85.1,ACCEPT
sorevia wj labs,,,NO_MATCH
helvar wj imaging labs,helvar zt imaging labs,90.9,ACCEPT
kestrelis wj imaging labs,,,NO_MATCH
ravelin wj imaging labs,,,NO_MATCH
ivanto wj logistics labs,kelvanto xj logistics labs,88.0,REJECT
wexforda yj mobility labs,,,NO_MATCH
arvello yj mobility labs,,,NO_MATCH
haverno yj mobility labs,avenor th mobility labs,85.1,REJECT
qintara yk mobility labs,,,NO_MATCH
calvion yk networks labs,calvion lb networks,88.4,ACCEPT
javora yk networks labs,iskora yk networks labs,87.0,REJECT
evorin ak pharma labs,,,NO_MATCH
haverno ak pharma labs,,,NO_MATCH
ravelin ak pharma labs,ravelin dv pharma labs,90.9,ACCEPT
ravelin bl robotics labs,ravelin as robotics labs,91.7,ACCEPT
nexora cl supply labs,,,NO_MATCH
novaris em training labs,novaris fe training labs,95.8,ACCEPT
uldora gn warehousing labs,,,NO_MATCH
jorvik gn wellness labs,jorvik hf wellness labs,91.3,ACCEPT
kelvanto gn wellness labs,,,NO_MATCH
ravelin gn wellness labs,ravelin hf wellness labs,91.7,ACCEPT
wexforda hn biosystems solutions,wendora el biosystems solutions,85.7,REJECT
sorevia jo cloudworks solutions,sorevia kg cloudworks solutions,93.5,ACCEPT
meroxa ko foods solutions,,,NO_MATCH
zentara lo gridworks solutions,zentara lo gridworks solns,92.9,ACCEPT
evorin lo gridworks solutions,evorin gm gridworks solutions,89.7,ACCEPT
wendora lp solutions,wendora oz solutions,90.0,ACCEPT
ivanto lp imaging solutions,ivanto fc imaging solutions,88.9,ACCEPT
calvion mp logistics solutions,,,NO_MATCH
eldora mp logistics solutions,avenor pz logistics solutions,86.2,REJECT
calvion nq networks solutions,,,NO_MATCH
tarsen oq networks solutions,,,NO_MATCH
mavrix oq payments solutions,mavrix kn payments solutions,89.3,ACCEPT
arvello qr robotics solutions,lorven qr robotics solutions,87.7,REJECT
zentara rr security solutions,zentara lw security solutions,93.1,ACCEPT
novaris rr software solutions,novaris rr software solns,92.6,ACCEPT
tervano rr software solutions,,,NO_MATCH
lunaro sr therapeutics solutions,,,NO_MATCH
sorevia sr therapeutics solutions,,,NO_MATCH
galvex ts tools solutions,arvello ts tools solutions,86.3,REJECT
quenvale ts tools solutions,,,NO_MATCH
wendora ts tools solutions,,,NO_MATCH
vantigo ts training solutions,,,NO_MATCH
yorvex ts training solutions,yorvex pp training solutions,89.3,ACCEPT
novaris ts training solutions,evorin ts training solutions,87.7,REJECT
galvex us transport solutions,galvex rh transport solutions,89.7,ACCEPT
javora us ventures solutions,fintara us ventures solutions,87.7,REJECT
lorven vs warehousing solutions,,,NO_MATCH
praxon vs warehousing solutions,,,NO_MATCH
kestrelis vt wellness solutions,kestrelis vt wellness solns,93.1,ACCEPT
uldora wt wellness solutions,uldora wt wellness solns,92.3,ACCEPT
rovian wt analytics systems,rovian vb analytics systems,92.6,ACCEPT
evorin xt clinics systems,evorin xt clinics sys,91.3,ACCEPT
wendora yt clinics systems,wendora zm clinics systems,92.3,ACCEPT
avenor yu components systems,,,NO_MATCH
lunaro yu components systems,ivanto yu components systems,85.7,REJECT
rovian yu components systems,ivanto yu components systems,89.3,REJECT
avenor zu diagnostics systems,avenor am diagnostics systems,89.7,ACCEPT
ostera zu diagnostics systems,ostera zu diagnostics sys,92.6,ACCEPT
iskora au gridworks systems,iskora au gridworks sys,92.0,ACCEPT
wendora bv systems,,,NO_MATCH
avenor cv materials systems,avenor cv materials sys,92.0,ACCEPT
eldora cv materials systems,deltora bd materials systems,87.3,REJECT
lunaro cv materials systems,,,NO_MATCH
tarsen cv mobility systems,,,NO_MATCH
calvion dw networks systems,,,NO_MATCH
galvex ew payments systems,galvex ew payments sys,91.7,ACCEPT
rovian ew payments systems,,,NO_MATCH
veltrix ew payments systems,vantigo ew payments systems,85.2,REJECT
helvar fw retail systems,helvar fw retail sys,90.9,ACCEPT
nexora fw retail systems,nexora fw retail sys,90.9,ACCEPT
javora gx robotics systems,javora gx robotics sys,91.7,ACCEPT
arvello gx security systems,deltora gx security systems,85.2,REJECT
kestrelis ix therapeutics systems,kestrelis dv therapeutics sys,87.1,ACCEPT
tarsen ix therapeutics systems,tarsen cc therapeutics sys,85.7,ACCEPT
cendrix ix therapeutics systems,evorin ix therapeutics systems,88.5,REJECT
haverno iy tools systems,,,NO_MATCH
glenvex jy training systems,glenvex hg training systems,92.6,ACCEPT
javora ky warehousing systems,haverno ky warehousing systems,88.1,REJECT
uldora lz wellness systems,uldora lz wellness sys,91.7,ACCEPT
zentara lz workspace systems,zentara lz workspace sys,92.3,ACCEPT
avenor mz analytics technologies,galvex mz analytics technologies,90.6,REJECT
prysmar mz analytics technologies,rovian mz analytics technologies,86.2,REJECT
ostera mz analytics technologies,rovian mz analytics technologies,87.5,REJECT
jorvik mz biosystems technologies,,,NO_MATCH
yantara nz biosystems technologies,yantara kp biosystems technologies,94.1,ACCEPT
orvanta na cloudworks technologies,iskora na cloudworks technologies,86.6,REJECT
vantigo na cloudworks technologies,tervano jx cloudworks technologies,85.3,REJECT
quenvale oa components technologies,quenvale if components technologies,94.3,ACCEPT
novaris oa components technologies,novaris oa components tech,86.7,ACCEPT
jorvik oa diagnostics technologies,evorin rk diagnostics technologies,85.3,REJECT
nexora pa foods technologies,,,NO_MATCH
ravelin pa foods technologies,,,NO_MATCH
yantara pa foods technologies,,,NO_MATCH
orvanta pa gridworks technologies,,,NO_MATCH
avenor qa technologies,,,NO_MATCH
ulvero qb technologies,,,NO_MATCH
meroxa qb technologies,,,NO_MATCH
xylera rb logistics technologies,uldora rb logistics technologies,90.6,REJECT
zentara rb logistics technologies,yantara rb logistics technologies,93.9,REJECT
braxen rb materials technologies,dorsen rb materials technologies,90.6,REJECT
eldora rb materials technologies,deltora sb materials technologies,92.3,REJECT
falvera uc pharma technologies,javora uc pharma technologies,91.5,REJECT
yorvex vc retail technologies,yorvex qa retail technologies,89.7,ACCEPT
tervano vd robotics technologies,,,NO_MATCH
calvion vd security technologies,ravelin xv security technologies,87.5,REJECT
fintara wd software technologies,orvanta wd software technologies,87.5,REJECT
meroxa xd supply technologies,,,NO_MATCH
novaris xd supply technologies,novaris tb supply technologies,90.0,ACCEPT
ravelin xd therapeutics technologies,ravelin rq therapeutics technologies,91.7,ACCEPT
eldora xd tools technologies,eldora wl tools technologies,92.9,ACCEPT
braxen ye training technologies,,,NO_MATCH
calvion ye training technologies,calvion ye training tech,85.7,ACCEPT
jorvik ye training technologies,jorvik ye training tech,85.2,ACCEPT
evorin ye training technologies,,,NO_MATCH
falvera ye training technologies,javora ub training technologies,85.7,REJECT
praxon ye training technologies,praxon ye training tech,85.2,ACCEPT
vantigo ze transport technologies,,,NO_MATCH
glenvex bf analytics services,glenvex wk analytics services,89.7,ACCEPT
kelvanto cf clinics services,eldora cf clinics services,85.2,REJECT
qintara cf clinics services,,,NO_MATCH
falvera dg cloudworks services,falvera av cloudworks services,90.0,ACCEPT
praxon eg components services,praxon components services,94.5,ACCEPT
braxen fg services,,,NO_MATCH
haverno fh services,,,NO_MATCH
vantigo gh imaging services,,,NO_MATCH
arvello hh mobility services,arvello ks mobility services,92.9,ACCEPT
avenor ih networks services,,,NO_MATCH
helvar ii packaging services,,,NO_MATCH
kestrelis ii packaging services,,,NO_MATCH
tervano ji payments services,tervano la payments services,92.9,ACCEPT
uldora ki pharma services,,,NO_MATCH
rovian ki retail services,,,NO_MATCH
arvello ki retail services,avenor iq retail services,86.3,REJECT
kestrelis lj security services,,,NO_MATCH
brinora ok training services,,,NO_MATCH
evorin ok training services,,,NO_MATCH
qintara ok training services,fintara mr training services,85.7,REJECT
fintara pk warehousing services,lunaro pk warehousing services,88.5,REJECT
braxen rl biosystems international,haverno rl biosystems international,89.9,REJECT
jorvik sl clinics international,,,NO_MATCH
solvanta sm cloudworks international,yantara tm cloudworks international,87.3,REJECT
tarsen sm cloudworks international,prysmar ue cloudworks international,87.0,REJECT
wexforda sm cloudworks international,wendora oj cloudworks international,87.3,REJECT
deltora sm cloudworks international,eldora vw cloudworks international,89.9,REJECT
evorin sm cloudworks international,falvera sm cloudworks international,87.0,REJECT
kelvanto sm cloudworks international,,,NO_MATCH
orvanta tm components international,rovian tm components international,92.8,REJECT
uldora um diagnostics international,ravelin um diagnostics international,87.3,REJECT
lunaro um foods international,javora um foods international,86.2,REJECT
iskora um gridworks international,iskora wf gridworks international,93.9,ACCEPT
eldora vm international,deltora sc international,85.1,REJECT
ulvero vn imaging international,nexora vn imaging international,87.1,REJECT
arvello vn imaging international,arvello uu imaging international,93.8,ACCEPT
evorin vn imaging international,,,NO_MATCH
wendora wn imaging international,nexora vn imaging international,88.9,REJECT
cendrix wn materials international,braxen wn materials international,86.6,REJECT
meroxa xn materials international,wendora xn materials international,89.6,REJECT
nexora xn mobility international,nexora rs mobility international,93.8,ACCEPT
yantara xn mobility international,,,NO_MATCH
wendora yo networks international,wendora ul networks international,90.9,ACCEPT
zentara yo packaging international,,,NO_MATCH
avenor yo payments international,,,NO_MATCH
braxen yo payments international,braxen wd payments international,93.8,ACCEPT
ravelin zo pharma international,ravelin cz pharma international,90.3,ACCEPT
falvera ao retail international,,,NO_MATCH
meroxa ao retail international,iskora ao retail international,86.7,REJECT
solvanta ap security international,,,NO_MATCH
ravelin bp software international,jorvik bp software international,89.2,REJECT
jorvik bp supply international,jorvik xm supply international,90.0,ACCEPT
tarsen cp supply international,,,NO_MATCH
solvanta cp therapeutics international,kelvanto cp therapeutics international,92.1,REJECT
eldora dq transport international,,,NO_MATCH
vantigo fq wellness international,,,NO_MATCH
prysmar gr workspace international,prysmar ib workspace international,94.1,ACCEPT
uldora gr workspace international,wendora hj workspace international,86.6,REJECT
yorvex gr analytics,yorvex gi analytics,94.7,ACCEPT
haverno gr analytics,,,NO_MATCH
xylera hr biosystems,xylera oo biosystems,90.0,ACCEPT
prysmar hr clinics,,,NO_MATCH
wexforda hr clinics,wexforda hi clinics,94.7,ACCEPT
wendora hr clinics,wendora jk clinics,88.9,ACCEPT
avenor ir cloudworks,avenor yh cloudworks,90.0,ACCEPT
glenvex is cloudworks,glenvex ur cloudworks sys,87.0,ACCEPT
prysmar ks gridworks,prysmar pe gridworks,90.0,ACCEPT
braxen lt logistics,,,NO_MATCH
prysmar lt logistics,,,NO_MATCH
jorvik mt mobility,jorvik pe mobility,88.9,ACCEPT
tervano nt mobility,,,NO_MATCH
helvar nt networks,,,NO_MATCH
glenvex nu networks,glenvex od networks,89.5,ACCEPT
avenor nu packaging,avenor mb packaging,89.5,ACCEPT
avenor ou payments,avenor iz payments,88.9,ACCEPT
tarsen ou payments,,,NO_MATCH
cendrix ou payments,,,NO_MATCH
zentara ou pharma,zentara np pharma,88.2,ACCEPT
kestrelis qv security,kestrelis mf security,90.5,ACCEPT
avenor qv software,,,NO_MATCH
helvar qv software,,,NO_MATCH
kestrelis qv software,kestrelis mf software,90.5,ACCEPT
ravelin rv software,,,NO_MATCH
ravelin sv therapeutics,ravelin ug therapeutics,87.0,ACCEPT
falvera sw tools,falvera ga tools,87.5,ACCEPT
meroxa vx wellness,,,NO_MATCH
glenvex wx biosystems,glenvex qg biosystems,90.5,ACCEPT
lorven wx biosystems,lorven wx biosys,88.9,ACCEPT
arvello xx clinics,arvello eu clinics,88.9,ACCEPT
meroxa xx clinics,meroxa tv clinics,88.2,ACCEPT
ulvero xx cloudworks,ulvero qk cloudworks,85.0,ACCEPT
iskora az,iskora ca,88.9,ACCEPT
wendora bz logistics,wendora lk logistics,90.0,ACCEPT
javora cz mobility,,,NO_MATCH
dorsen ea pharma,dorsen fj pharma,87.5,ACCEPT
ivanto ea pharma,ivanto fs pharma,87.5,ACCEPT
rovian fb security,rovian kn security,88.9,ACCEPT
yantara gb software,yantara la software,89.5,ACCEPT
helvar gb supply,,,NO_MATCH
calvion hb tools,calvion qd tools,87.5,ACCEPT
lunaro hb tools,,,NO_MATCH
nexora hb tools,,,NO_MATCH
javora ic tools,javora as tools,86.7,ACCEPT
ravelin ic training,ravelin ql training,89.5,ACCEPT
uldora ic training,,,NO_MATCH
mavrix jc ventures,,,NO_MATCH
brinora jc ventures,brinora ku ventures,89.5,ACCEPT
veltrix ld workspace,veltrix jl workspace,95.0,ACCEPT
sorevia md biosystems,sorevia db biosystems,95.2,ACCEPT
braxen ne diagnostics,braxen hm diagnostics,90.5,ACCEPT
mavrix oe diagnostics,mavrix td diagnostics,90.5,ACCEPT
tarsen oe foods,tarsen jj foods,86.7,ACCEPT
praxon oe foods,praxon kb foods,86.7,ACCEPT
novaris pe gridworks,novaris xo gridworks,90.0,ACCEPT
orvanta pe,,,NO_MATCH
helvar qf logistics,helvar pn logistics,89.5,ACCEPT
veltrix rf logistics,veltrix mc logistics,90.0,ACCEPT
zentara rf materials,zentara pe materials,90.0,ACCEPT
prysmar rf mobility,,,NO_MATCH
solvanta rf mobility,solvanta yx mobility,85.0,ACCEPT
wendora sf mobility,wendora vm mobility,89.5,ACCEPT
brinora sf networks,brinora rn networks,89.5,ACCEPT
iskora tg payments,,,NO_MATCH
yantara tg payments,,,NO_MATCH
lunaro tg pharma,,,NO_MATCH
jorvik ug robotics,jorvik to robotics,88.9,ACCEPT
orvanta ug robotics,,,NO_MATCH
tarsen ug robotics,,,NO_MATCH
fintara vh security,,,NO_MATCH
tarsen vh security,,,NO_MATCH
lorven wh software,ravelin wh software,86.5,REJECT
evorin wh supply,,,NO_MATCH
avenor xh tools,,,NO_MATCH
mavrix xi training,,,NO_MATCH
avenor yi transport,avenor za transport,89.5,ACCEPT
lunaro yi ventures,,,NO_MATCH
sorevia zi warehousing,sorevia dp warehousing,86.4,ACCEPT
ulvero ai wellness,ulvero po wellness,88.9,ACCEPT
sorevia cj clinics,,,NO_MATCH
lunaro dk components,,,NO_MATCH
haverno fl imaging,haverno eb imaging,88.9,ACCEPT
ravelin fl imaging,ravelin hq imaging,88.9,ACCEPT
kelvanto gl logistics,kelvanto ui logistics,85.7,ACCEPT
kestrelis gl materials,kestrelis ci materials,90.9,ACCEPT
mavrix hl networks,mavrix bh networks,94.4,ACCEPT
avenor im packaging,avenor mb packaging,94.7,ACCEPT
quenvale im packaging,quenvale je packaging,90.5,ACCEPT
wendora im packaging,,,NO_MATCH
deltora km robotics,eldora mx robotics,86.5,REJECT
mavrix kn security,,,NO_MATCH
veltrix mn supply,veltrix qd supply,88.2,ACCEPT
prysmar mn tools,prysmar hb tools,87.5,ACCEPT
tarsen oo ventures,tarsen ob ventures,94.4,ACCEPT
yorvex oo ventures,yorvex se ventures,88.9,ACCEPT
kelvanto po warehousing,kelvanto tr warehousing,91.3,ACCEPT
vantigo qp analytics labs,,,NO_MATCH
praxon qp analytics labs,praxon sh analytics labs,91.7,ACCEPT
eldora qp biosystems labs,helvar qp biosystems labs,88.0,REJECT
tarsen rp biosystems labs,tarsen of biosystems labs,92.0,ACCEPT
vantigo rp clinics labs,vantigo mu clinics labs,91.3,ACCEPT
vantigo sp cloudworks labs,,,NO_MATCH
yantara sq cloudworks labs,yantara lc cloudworks,85.1,ACCEPT
jorvik sq diagnostics labs,jorvik qf diagnostics labs,96.2,ACCEPT
lunaro tq diagnostics labs,novaris tq diagnostics labs,86.8,REJECT
brinora vr imaging labs,brinora ty imaging labs,91.3,ACCEPT
jorvik ys pharma labs,,,NO_MATCH
prysmar ys pharma labs,prysmar at pharma sys,88.4,ACCEPT
vantigo ys pharma labs,,,NO_MATCH
lorven zs retail labs,,,NO_MATCH
glenvex at software labs,,,NO_MATCH
ivanto bt supply labs,ivanto zb supply labs,85.7,ACCEPT
rovian bt supply labs,,,NO_MATCH
qintara bt supply labs,,,NO_MATCH
arvello du ventures labs,,,NO_MATCH
tarsen fv workspace labs,,,NO_MATCH
veltrix gv analytics solutions,veltrix cs analytics solutions,93.3,ACCEPT
falvera gv biosystems solutions,falvera hn biosystems solutions,93.5,ACCEPT
lorven gv biosystems solutions,ravelin jg biosystems solutions,88.5,REJECT
kestrelis gv clinics solutions,kestrelis fd clinics solns,85.7,ACCEPT
zentara hv clinics solutions,zentara cs clinics solutions,92.9,ACCEPT
ostera hv cloudworks solutions,ostera jo cloudworks solns,85.7,ACCEPT
galvex hw components solutions,galvex hw components solns,92.9,ACCEPT
calvion iw diagnostics solutions,,,NO_MATCH
quenvale iw diagnostics solutions,quenvale he diagnostics solns,87.1,ACCEPT
yorvex jw foods solutions,yorvex jw foods solns,91.3,ACCEPT
iskora jw foods solutions,iskora lg foods solutions,92.0,ACCEPT
javora jw foods solutions,,,NO_MATCH
meroxa jw foods solutions,meroxa jw foods solns,91.3,ACCEPT
veltrix jw foods solutions,veltrix ft foods solutions,92.3,ACCEPT
iskora kw solutions,iskora kw solns,88.2,ACCEPT
wendora kw solutions,wendora oz solutions,90.0,ACCEPT
evorin lx logistics solutions,evorin lx logistics solns,92.6,ACCEPT
dorsen lx mobility solutions,,,NO_MATCH
yorvex mx networks solutions,yorvex mx networks solns,92.3,ACCEPT
glenvex mx networks solutions,falvera mx networks solutions,86.2,REJECT
tervano ny packaging solutions,tarsen ny packaging solutions,88.1,REJECT
prysmar ny payments solutions,,,NO_MATCH
quenvale ny payments solutions,,,NO_MATCH
uldora ny payments solutions,uldora mg payments solutions,92.9,ACCEPT
tarsen oy pharma solutions,,,NO_MATCH
vantigo oy pharma solutions,vantigo kv pharma solutions,92.6,ACCEPT
ravelin oy retail solutions,ravelin mo retail solns,88.0,ACCEPT
avenor rz therapeutics solutions,mavrix rz therapeutics solutions,90.6,REJECT
evorin rz therapeutics solutions,mavrix rz therapeutics solutions,90.6,REJECT
wexforda rz tools solutions,wexforda rz tools solns,92.0,ACCEPT
calvion sz training solutions,calvion pp training solutions,89.7,ACCEPT
arvello sa training solutions,arvello ox training solutions,93.1,ACCEPT
mavrix sa transport solutions,mavrix qp transport solutions,93.1,ACCEPT
prysmar sa transport solutions,prysmar ox transport solutions,90.0,ACCEPT
qintara ta transport solutions,,,NO_MATCH
xylera ta ventures solutions,,,NO_MATCH
eldora ta warehousing solutions,eldora px warehousing solutions,90.3,ACCEPT
arvello ta warehousing solutions,,,NO_MATCH
kestrelis ub workspace solutions,kestrelis ub workspace solns,93.3,ACCEPT
sorevia vb analytics systems,rovian vb analytics systems,90.9,REJECT
yantara wb biosystems systems,,,NO_MATCH
novaris wb clinics systems,,,NO_MATCH
braxen wb cloudworks systems,braxen rg cloudworks systems,89.3,ACCEPT
evorin xb cloudworks systems,evorin tz cloudworks systems,92.9,ACCEPT
calvion xb components systems,,,NO_MATCH
iskora xc components systems,iskora tz components systems,92.9,ACCEPT
tervano yc diagnostics systems,wexforda yc diagnostics systems,85.2,REJECT
kestrelis yc foods systems,,,NO_MATCH
eldora zc systems,deltora zc systems,91.4,REJECT
evorin ad imaging systems,brinora ad imaging systems,86.3,REJECT
galvex ad logistics systems,galvex ef logistics systems,92.6,ACCEPT
lunaro ad logistics systems,,,NO_MATCH
yantara ad logistics systems,yantara ad logistics sys,92.3,ACCEPT
avenor ad materials systems,avenor ad materials sys,92.0,ACCEPT
haverno bd materials systems,,,NO_MATCH
vantigo ce packaging systems,vantigo ce packaging sys,92.3,ACCEPT
avenor ee retail systems,avenor fw retail systems,91.7,ACCEPT
haverno ee robotics systems,,,NO_MATCH
avenor fe security systems,haverno ip security systems,86.8,REJECT
iskora ff security systems,,,NO_MATCH
braxen ff software systems,braxen ff software sys,91.7,ACCEPT
eldora ff software systems,eldora ff software sys,91.7,ACCEPT
lorven gf supply systems,ravelin gf supply systems,89.8,REJECT
solvanta ig ventures systems,solvanta dl ventures systems,92.9,ACCEPT
brinora ig ventures systems,brinora nj ventures systems,92.6,ACCEPT
ravelin jg warehousing systems,ravelin mr warehousing systems,93.3,ACCEPT
wexforda kh workspace systems,,,NO_MATCH
kestrelis lh biosystems technologies,,,NO_MATCH
wexforda lh biosystems technologies,wexforda kp biosystems technologies,94.3,ACCEPT
evorin lh biosystems technologies,haverno lh biosystems technologies,89.6,REJECT
evorin mh clinics technologies,,,NO_MATCH
brinora mh cloudworks technologies,brinora qk cloudworks technologies,94.1,ACCEPT
wendora mh cloudworks technologies,wendora qk cloudworks technologies,94.1,ACCEPT
helvar mh components technologies,lunaro mh components technologies,90.9,REJECT
brinora ni components technologies,brinora if components technologies,97.1,ACCEPT
ivanto ni foods technologies,,,NO_MATCH
mavrix ni foods technologies,galvex ni foods technologies,89.3,REJECT
glenvex oi foods technologies,galvex ni foods technologies,91.2,REJECT
solvanta oi gridworks technologies,,,NO_MATCH
ulvero oi gridworks technologies,ulvero pa gridworks technologies,93.8,ACCEPT
javora oi gridworks technologies,javora oi gridworks tech,85.7,ACCEPT
lunaro oi technologies,lunaro kg technologies,86.4,ACCEPT
xylera pi technologies,,,NO_MATCH
helvar pi imaging technologies,eldora pi imaging technologies,90.0,REJECT
qintara pj imaging technologies,qintara rb imaging technologies,90.3,ACCEPT
sorevia pj imaging technologies,jorvik st imaging technologies,85.2,REJECT
kestrelis pj logistics technologies,,,NO_MATCH
glenvex sk payments technologies,,,NO_MATCH
sorevia tk pharma technologies,,,NO_MATCH
uldora tk pharma technologies,,,NO_MATCH
